No,2013/5/4,2013/5/4,No,2013/6/1,2013/6/1,No,2013/7/6,2013/7/6,No,2013/8/3,2013/8/3,No,2013/8/31,2013/8/31,No,2013/10/5,2013/10/5,No,2013/11/2,2013/11/2,No,2013/11/30,2013/11/30,No,2014/1/4,2014/1/4,No,2014/2/1,2014/2/1,No,2014/3/1,2014/3/1,No,2014/4/5,2014/4/5,No,2014/5/3,2014/5/3,No,2014/5/31,2014/5/31,No,2014/7/5,2014/7/5,No,2014/8/2,2014/8/2,No,2014/9/6,2014/9/6,No,2014/10/4,2014/10/4,No,2014/11/1,2014/11/1,No,2014/12/6,2014/12/6,No,2015/1/3,2015/1/3,No,2015/1/31,2015/1/31,No,2015/2/28,2015/2/28,No,2015/4/4,2015/4/4,No,2015/5/2,2015/5/2,No,2015/6/6,2015/6/6,No,2015/7/4,2015/7/4,No,2015/8/1,2015/8/1,No,2015/9/5,2015/9/5,No,2015/10/3,2015/10/3,No,2015/10/31,2015/10/31,No,2015/12/5,2015/12/5,No,2016/1/2,2016/1/2,No,2016/2/7,2016/2/7,No,2016/3/5,2016/3/5,No,2016/4/2,2016/4/2,No,2016/4/30,2016/4/30,No,2016/6/4,2016/6/4,No,2016/7/2,2016/7/2,No,2016/8/6,2016/8/6,No,2016/9/3,2016/9/3,No,2016/10/1,2016/10/1,No,2016/11/5,2016/11/5,No,2016/12/3,2016/12/3,No,2016/12/31,2016/12/31,No,2017/2/4,2017/2/4,No,2017/3/4,2017/3/4,No,2017/4/1,2017/4/1,No,2017/5/6,2017/5/6,No,2017/6/3,2017/6/3,No,2017/7/1,2017/7/1,No,2017/8/5,2017/8/5,No,2017/9/2,2017/9/2,No,2017/9/30,2017/9/30,No,2017/11/4,2017/11/4,No,2017/12/2,2017/12/2,No,2018/1/6,2018/1/6,No,2018/2/3,2018/2/3,No,2018/3/3,2018/3/3,No,2018/3/31,2018/3/31,No,2018/5/5,2018/5/5,No,2018/6/2,2018/6/2,No,2018/6/30,2018/6/30,No,2018/8/4,2018/8/4,No,2018/9/1,2018/9/1,No,2018/10/6,2018/10/6,No,2018/11/3,2018/11/3,No,2018/12/1,2018/12/1,No,2019/1/5,2019/1/5,No,2019/2/2,2019/2/2,No,2019/3/2,2019/3/2,No,2019/4/6,2019/4/6,No,2019/5/4,2019/5/4,No,2019/6/1,2019/6/1,No,2019/7/6,2019/7/6,No,2019/8/3,2019/8/3,No,2019/8/31,2019/8/31,No,2019/10/5,2019/10/5,No,2019/11/2,2019/11/2,No,2019/11/30,2019/11/30,No,2020/1/4,2020/1/4,No,2020/2/1,2020/2/1
1,BTC,115.91,1,BTC,122.29,1,BTC,74.56,1,BTC,105.14,1,BTC,138.34,1,BTC,129,1,BTC,215.05,1,BTC,955.85,1,BTC,933.53,1,BTC,825.37,1,BTC,559.79,1,BTC,460.5,1,BTC,436.4,1,BTC,630.23,1,BTC,635.81,1,BTC,586.67,1,BTC,482.28,1,BTC,320.51,1,BTC,325.89,1,BTC,375.09,1,BTC,264.2,1,BTC,226.97,1,BTC,260.2,1,BTC,260.6,1,BTC,240.36,1,BTC,222.88,1,BTC,271.91,1,BTC,282.61,1,BTC,239.84,1,BTC,238.26,1,BTC,325.43,1,BTC,388.78,1,BTC,430.01,1,BTC,376.62,1,BTC,407.71,1,BTC,420.9,1,BTC,451.88,1,BTC,574.98,1,BTC,658.66,1,BTC,592.69,1,BTC,608.63,1,BTC,610.89,1,BTC,711.52,1,BTC,773.87,1,BTC,998.33,1,BTC,"1,027.34",1,BTC,"1,267.12",1,BTC,"1,102.17",1,BTC,"1,596.71",1,BTC,"2,511.81",1,BTC,"2,506.47",1,BTC,"3,213.94",1,BTC,"4,582.96",1,BTC,"4,403.74",1,BTC,"7,407.41",1,BTC,"11,323.22",1,BTC,"16,477.59",1,BTC,"8,277.01",1,BTC,"11,512.57",1,BTC,"6,844.23",1,BTC,"9,654.80",1,BTC,"7,720.25",1,BTC,"6,385.82",1,BTC,"7,068.48",1,BTC,"7,272.72",1,BTC,"6,602.95",1,BTC,"6,376.13",1,BTC,"4,139.88",1,BTC,"4,076.63",1,BTC,"3,464.01",1,BTC,"3,847.18",1,BTC,"5,198.90",1,BTC,"5,795.71",1,BTC,"8,742.96",1,BTC,"11,450.85",1,BTC,"10,970.18",1,BTC,"9,757.97",1,BTC,"7,988.16",1,BTC,"9,235.35",1,BTC,"7,424.29",1,BTC,"7,411.32",1,BTC,"9,344.37"
2,LTC,3.59,2,LTC,2.73,2,LTC,2.66,2,LTC,3.01,2,LTC,2.58,2,XRP,0.009819,2,LTC,2.88,2,LTC,34.74,2,LTC,26.83,2,LTC,22.4,2,LTC,12.74,2,LTC,11.64,2,LTC,10.32,2,LTC,11.14,2,LTC,7.11,2,LTC,7.54,2,LTC,5.16,2,XRP,0.004789,2,XRP,0.004664,2,XRP,0.014794,2,XRP,0.018928,2,XRP,0.014139,2,XRP,0.012239,2,XRP,0.008739,2,XRP,0.008055,2,XRP,0.007874,2,XRP,0.010022,2,XRP,0.00823,2,XRP,0.007891,2,XRP,0.005236,2,LTC,3.96,2,XRP,0.005344,2,XRP,0.006017,2,XRP,0.008338,2,ETH,11.38,2,ETH,11.62,2,ETH,8.85,2,ETH,13.98,2,ETH,11.72,2,ETH,10.91,2,ETH,11.68,2,ETH,13.2,2,ETH,10.87,2,ETH,7.44,2,ETH,8.17,2,ETH,11.35,2,ETH,19.3,2,ETH,48.75,2,ETH,94.01,2,ETH,245.33,2,ETH,287.99,2,ETH,261.57,2,ETH,347.48,2,ETH,302.34,2,ETH,296.26,2,ETH,465.85,2,XRP,3.38,2,ETH,834.68,2,ETH,866.68,2,ETH,379.61,2,ETH,792.31,2,ETH,618.33,2,ETH,453.92,2,ETH,410.52,2,ETH,294.37,2,ETH,226.12,2,ETH,207.49,2,XRP,0.367627,2,ETH,157.75,2,XRP,0.302352,2,ETH,132.25,2,ETH,174.53,2,ETH,163.45,2,ETH,270.23,2,ETH,305.7,2,ETH,222.67,2,ETH,171.63,2,ETH,173.06,2,ETH,182.43,2,ETH,151.19,2,ETH,136.28,2,ETH,188.62
3,NMC,1.15,3,NMC,0.709295,3,NMC,0.436928,3,XRP,0.005882,3,XRP,0.005787,3,LTC,2.17,3,XRP,0.00716,3,XRP,0.051497,3,XRP,0.025229,3,XRP,0.02156,3,AUR,24.42,3,XRP,0.008247,3,PPC,2.09,3,NXT,0.057205,3,NXT,0.053394,3,NXT,0.047615,3,XRP,0.004704,3,LTC,3.7,3,LTC,3.59,3,LTC,3.71,3,LTC,1.96,3,LTC,1.8,3,LTC,1.89,3,LTC,1.7,3,LTC,1.43,3,LTC,1.73,3,LTC,4.95,3,LTC,4.17,3,LTC,3.05,3,LTC,3.01,3,XRP,0.004901,3,LTC,3.47,3,LTC,3.48,3,ETH,2.96,3,XRP,0.00786,3,XRP,0.007503,3,XRP,0.006791,3,LTC,4.81,3,XRP,0.006607,3,STEEM,2.12,3,XRP,0.005954,3,XRP,0.008165,3,XRP,0.008193,3,XRP,0.006527,3,XRP,0.006368,3,XRP,0.006442,3,DASH,42.31,3,XRP,0.061159,3,XRP,0.141763,3,XRP,0.299413,3,XRP,0.259449,3,XRP,0.180444,3,BCH,607.43,3,XRP,0.206532,3,BCH,630.7,3,BCH,"1,559.93",3,ETH,"1,153.17",3,XRP,0.815703,3,XRP,1.01,3,XRP,0.485081,3,XRP,0.871424,3,XRP,0.671205,3,XRP,0.461358,3,XRP,0.433638,3,XRP,0.342523,3,XRP,0.482039,3,XRP,0.462691,3,ETH,116.39,3,XRP,0.368395,3,ETH,107.49,3,XRP,0.312554,3,XRP,0.359856,3,XRP,0.302342,3,XRP,0.444785,3,XRP,0.397047,3,XRP,0.319842,3,XRP,0.258054,3,XRP,0.257705,3,XRP,0.291261,3,XRP,0.225333,3,XRP,0.195537,3,XRP,0.250734
4,PPC,0.3037,4,PPC,0.151642,4,PPC,0.131973,4,NMC,0.621399,4,NMC,0.568577,4,PPC,0.4644,4,PPC,0.399993,4,PPC,6.39,4,PPC,7.23,4,PPC,5.77,4,XRP,0.013543,4,PPC,1.86,4,XRP,0.005024,4,DASH,12.93,4,PPC,1.54,4,XRP,0.005215,4,BTS,0.03267,4,BTS,0.029076,4,BTS,0.016533,4,BTS,0.017731,4,XPY,4.31,4,BTS,0.010466,4,BTS,0.010651,4,DASH,4.17,4,DASH,2.7,4,BTS,0.006932,4,DOGE,0.000194,4,DASH,3.62,4,ETH,1.3,4,ETH,0.668379,4,ETH,1.06,4,ETH,0.8355,4,ETH,0.971905,4,LTC,3.09,4,LTC,3.22,4,LTC,3.26,4,LTC,3.71,4,XRP,0.005796,4,LTC,4.25,4,XRP,0.006178,4,LTC,4.01,4,LTC,3.84,4,LTC,3.89,4,LTC,3.9,4,LTC,4.51,4,LTC,4.04,4,XRP,0.006129,4,DASH,57.07,4,LTC,30.29,4,XEM,0.215562,4,LTC,41.57,4,BCH,220.66,4,XRP,0.228811,4,BCH,415.15,4,XRP,0.202055,4,XRP,0.252558,4,BCH,"2,786.88",4,BCH,"1,165.38",4,BCH,"1,289.08",4,BCH,643.03,4,BCH,"1,765.69",4,BCH,"1,170.40",4,BCH,739.42,4,BCH,709.22,4,BCH,645.88,4,BCH,517.47,4,BCH,560.18,4,XLM,0.160301,4,BCH,166.84,4,EOS,2.38,4,EOS,3.55,4,BCH,319.6,4,BCH,293.95,4,BCH,443.77,4,LTC,120.32,4,BCH,333.67,4,BCH,282.33,4,USDT,1.01,4,BCH,292.71,4,USDT,1,4,USDT,1.01,4,BCH,378.27
5,FTC,0.313,5,NVC,3.9,5,NVC,2.84,5,PPC,0.16087,5,PPC,0.178459,5,NMC,0.5676,5,NMC,0.582785,5,NMC,8.42,5,OMNI,178.9,5,NXT,0.066888,5,PPC,3.01,5,DOGE,0.00046,5,DOGE,0.000468,5,PPC,2.02,5,DASH,6.66,5,DASH,5.8,5,NXT,0.037189,5,DOGE,0.000273,5,DOGE,0.000221,5,MAID,0.059471,5,BTS,0.013713,5,XPY,1.58,5,DASH,3.33,5,BTS,0.005842,5,XLM,0.002677,5,DASH,2.81,5,DASH,3.09,5,DOGE,0.000172,5,DASH,2.49,5,BTS,0.005202,5,DASH,2.66,5,DASH,2.34,5,DASH,3.24,5,DOGE,0.000285,5,MAID,0.104347,5,DASH,7,5,DASH,6.79,5,DAO,0.130816,5,DAO,0.090078,5,LTC,3.78,5,XMR,13.39,5,XMR,8.3,5,ETC,0.982655,5,XMR,7.8,5,XMR,13.97,5,XMR,12.8,5,XMR,15.18,5,LTC,7.74,5,XEM,0.099328,5,ETC,17.48,5,ETC,17.91,5,LTC,45.1,5,LTC,76.84,5,LTC,54.54,5,LTC,54.75,5,DASH,768.88,5,ADA,1.01,5,ADA,0.379303,5,LTC,213.8,5,LTC,115.22,5,EOS,17.47,5,EOS,14.62,5,EOS,8.13,5,EOS,7.06,5,EOS,6.6,5,EOS,5.76,5,EOS,5.45,5,BCH,172.11,5,EOS,2.88,5,BCH,118.83,5,LTC,48.38,5,LTC,92.31,5,LTC,75.98,5,EOS,7.77,5,BCH,411.81,5,LTC,93.2,5,LTC,66.14,5,BCH,223.41,5,USDT,1,5,BCH,216.17,5,BCH,224.1,5,BSV,276.74
6,FRC,0.0811,6,DVC,0.000147,6,FTC,0.075307,6,FTC,0.166127,6,FTC,0.150791,6,FTC,0.11868,6,NVC,4.25,6,QRK,0.248511,6,NXT,0.06336,6,OMNI,86.74,6,DOGE,0.000953,6,NXT,0.028437,6,NXT,0.022593,6,DOGE,0.000403,6,XRP,0.00281,6,PPC,1.12,6,DOGE,0.000188,6,NXT,0.023841,6,NXT,0.018891,6,DOGE,0.000229,6,MAID,0.040363,6,XLM,0.004142,6,MAID,0.03273,6,DOGE,0.000127,6,MAID,0.023259,6,DOGE,0.000152,6,BTS,0.006453,6,MAID,0.030304,6,DOGE,0.000132,6,BANX,1.81,6,DOGE,0.000141,6,DOGE,0.000128,6,DOGE,0.000146,6,DASH,4.21,6,DASH,4.58,6,MAID,0.081778,6,MAID,0.058075,6,DASH,7.58,6,XEM,0.010768,6,ETC,2.15,6,ETC,1.46,6,ETC,1.19,6,XMR,4.97,6,ETC,0.768952,6,ETC,1.4,6,ETC,1.39,6,LTC,3.9,6,XMR,20.14,6,DASH,106.28,6,LTC,27.94,6,XEM,0.159311,6,XEM,0.248318,6,XEM,0.307264,6,DASH,315.8,6,DASH,273.17,6,LTC,101.26,6,XEM,1.84,6,LTC,148.02,6,ADA,0.300787,6,EOS,5.66,6,LTC,171.8,6,LTC,125.5,6,LTC,80.24,6,XLM,0.244218,6,XLM,0.224744,6,XLM,0.245138,6,XLM,0.241638,6,EOS,2.85,6,LTC,39.3,6,USDT,1,6,BCH,131.56,6,EOS,5.46,6,EOS,4.9,6,LTC,114.7,6,EOS,5.96,6,BNB,27.56,6,USDT,1,6,LTC,55.41,6,LTC,58.63,6,LTC,47.71,6,LTC,43.55,6,USDT,1
7,TRC,0.568,7,TRC,0.23847,7,TRC,0.167017,7,NVC,5.46,7,NVC,4.07,7,NVC,4.18,7,XPM,0.677408,7,MEC,1.51,7,NMC,7.84,7,DOGE,0.001279,7,NXT,0.04408,7,OMNI,37.42,7,OMNI,32.34,7,XRP,0.004092,7,DOGE,0.000226,7,BTS,0.009536,7,PPC,0.721973,7,PPC,0.816533,7,PPC,0.75109,7,NXT,0.019323,7,NXT,0.016069,7,DOGE,0.000144,7,DOGE,0.000146,7,XLM,0.002666,7,BTS,0.003707,7,XLM,0.003089,7,XLM,0.003122,7,BANX,1.9,7,BANX,1.82,7,DASH,2.17,7,BTS,0.004348,7,PPC,0.413941,7,PPC,0.426281,7,PPC,0.420695,7,DOGE,0.000221,7,DOGE,0.000221,7,DOGE,0.000226,7,LSK,0.489628,7,DASH,7.01,7,DASH,10.35,7,STEEM,0.823902,7,DASH,11.78,7,DASH,9.4,7,DASH,8.82,7,DASH,11.23,7,DASH,17.06,7,ETC,1.4,7,ETC,2.64,7,ETC,7.12,7,DASH,143.35,7,DASH,173.49,7,ETC,15.35,7,DASH,356.39,7,XEM,0.24618,7,NEO,26.38,7,BTG,320.66,7,LTC,288.45,7,NEO,107.45,7,NEO,119.36,7,ADA,0.150768,7,ADA,0.350021,7,ADA,0.228154,7,XLM,0.198573,7,LTC,74.59,7,LTC,65.65,7,LTC,58.16,7,LTC,53.61,7,LTC,33.71,7,XLM,0.120384,7,LTC,33.44,7,USDT,1.01,7,BNB,19.11,7,BNB,23.02,7,BNB,33.17,7,BNB,33.24,7,USDT,1.01,7,BNB,21.57,7,EOS,2.95,7,BNB,20.21,7,EOS,2.78,7,EOS,2.7,7,LTC,70.23
8,DVC,0.0002,8,FTC,0.081936,8,DVC,0.000057,8,XPM,0.64874,8,XPM,0.622527,8,XPM,0.3354,8,FTC,0.08387,8,PTS,24.71,8,PTS,19.31,8,NMC,5.46,8,OMNI,52.43,8,AUR,1.86,8,NMC,2.1,8,NMC,2.28,8,NMC,1.8,8,DOGE,0.000203,8,DASH,2.9,8,DASH,2.25,8,XCP,3.66,8,PPC,0.723184,8,XLM,0.004416,8,MAID,0.031001,8,NXT,0.013381,8,NXT,0.011024,8,NXT,0.009271,8,NXT,0.011114,8,NXT,0.013126,8,XLM,0.002725,8,XLM,0.002527,8,DOGE,0.000118,8,XLM,0.002128,8,XLM,0.00192,8,BTS,0.003386,8,MAID,0.02109,8,FCT,1.89,8,AMP,0.102035,8,XEM,0.001606,8,MAID,0.061192,8,MAID,0.071104,8,XEM,0.005018,8,DASH,11.39,8,STEEM,0.443965,8,REP,4.96,8,STEEM,0.209031,8,REP,4,8,MAID,0.150224,8,XEM,0.011338,8,XEM,0.016086,8,XMR,32.78,8,STRAT,10.48,8,MIOTA,0.382249,8,DASH,189.13,8,MIOTA,0.743968,8,NEO,35.72,8,XEM,0.180309,8,MIOTA,1.88,8,TRX,0.199655,8,XLM,0.377231,8,XLM,0.36193,8,XLM,0.206582,8,XLM,0.412944,8,XLM,0.302912,8,ADA,0.142208,8,ADA,0.131721,8,USDT,0.997839,8,USDT,0.996617,8,ADA,0.076229,8,USDT,0.998372,8,USDT,1.02,8,TRX,0.025442,8,XLM,0.087235,8,XLM,0.130303,8,USDT,1,8,BSV,191.97,8,USDT,1,8,EOS,4.24,8,EOS,3.28,8,BNB,15.35,8,EOS,3.28,8,BNB,15.5,8,BNB,14.11,8,EOS,4.22
9,NVC,3.69,9,FRC,0.019811,9,FRC,0.010069,9,TRC,0.169281,9,TRC,0.182609,9,TRC,0.16641,9,WDC,0.027094,9,FTC,0.974967,9,QRK,0.087714,9,QRK,0.100365,9,NMC,3.29,9,NMC,1.96,9,BLK,0.132655,9,BLK,0.204731,9,OMNI,18.96,9,NMC,1.52,9,NMC,1.03,9,NMC,0.87655,9,MAID,0.021363,9,XCP,5.54,9,DOGE,0.000158,9,NXT,0.011894,9,XPY,0.922663,9,MAID,0.020545,9,DOGE,0.00009,9,BANX,1.5,9,PPC,0.568316,9,BCN,0.000073,9,BTS,0.004681,9,XLM,0.002051,9,PPC,0.381693,9,BTS,0.003414,9,XLM,0.001744,9,BTS,0.003666,9,XMR,1.2,9,XMR,1.54,9,XMR,0.914293,9,DOGE,0.000237,9,LSK,0.301406,9,MAID,0.085708,9,XEM,0.005647,9,MAID,0.088853,9,STEEM,0.202482,9,REP,3.32,9,MAID,0.096921,9,XEM,0.006389,9,MAID,0.167538,9,REP,11.6,9,XLM,0.043984,9,XMR,42.9,9,XMR,42.79,9,MIOTA,0.431142,9,XMR,126.01,9,MIOTA,0.610183,9,XMR,86.35,9,ADA,0.131807,9,XLM,0.699645,9,EOS,8.61,9,XMR,368.97,9,NEO,47.3,9,MIOTA,2.3,9,MIOTA,1.81,9,MIOTA,1.07,9,MIOTA,0.910686,9,ADA,0.104432,9,ADA,0.084658,9,XMR,111.8,9,BSV,100.37,9,BSV,90.38,9,XLM,0.081347,9,BNB,11.54,9,ADA,0.090484,9,XLM,0.098927,9,USDT,1,9,BSV,199.55,9,BSV,150.5,9,BSV,129.65,9,BSV,82.15,9,BSV,129.58,9,BSV,104.29,9,BSV,110.87,9,BNB,18.45
10,MNC,0.1159,10,CNC,0.056254,10,YAC,0.025724,10,DVC,0.000064,10,IFC,0.000005,10,CBX,0.336347,10,MNC,0.537591,10,XPM,5.54,10,MEC,0.876491,10,PTS,14.44,10,XCP,4.71,10,PTS,4.91,10,DASH,1.55,10,OMNI,16.71,10,XC,1.81,10,MAID,0.024726,10,MAID,0.019154,10,MAID,0.019144,10,NMC,0.864687,10,DASH,2.37,10,PPC,0.460061,10,DASH,1.88,10,XLM,0.002781,10,PPC,0.332226,10,BANX,1.47,10,MAID,0.015863,10,MAID,0.02506,10,BTS,0.004848,10,BCN,0.000064,10,MAID,0.018791,10,NXT,0.007625,10,MAID,0.015666,10,NXT,0.006864,10,XLM,0.001852,10,BTS,0.005082,10,BTS,0.005941,10,FCT,1.2,10,DGD,9.93,10,DOGE,0.000282,10,NXT,0.028375,10,MAID,0.088249,10,XEM,0.004311,10,WAVES,0.368279,10,XEM,0.003563,10,STEEM,0.161161,10,REP,4.15,10,REP,6.11,10,MAID,0.174281,10,GNT,0.241079,10,WAVES,5.35,10,STRAT,5.88,10,NEO,15.21,10,ETC,18.57,10,XMR,93.22,10,ETC,13.24,10,XMR,200.05,10,MIOTA,4.07,10,XEM,0.55087,10,EOS,8.18,10,XMR,175.51,10,TRX,0.084778,10,TRX,0.061978,10,USDT,0.998821,10,USDT,0.999347,10,MIOTA,0.712792,10,XMR,113.72,10,USDT,0.988708,10,ADA,0.041672,10,TRX,0.023005,10,BSV,63.72,10,TRX,0.022723,10,USDT,1,10,ADA,0.066146,10,XLM,0.137623,10,TRX,0.034933,10,XLM,0.08213,10,XMR,71.78,10,XLM,0.059092,10,XLM,0.069091,10,XLM,0.058082,10,XMR,54.1,10,ADA,0.055768
